id,imageurl,uri,titel,width,height
ddd-010961912-mpeg21-p016.jpg,https://rotterdamspubliek.nl/files/filmladders-per-jaar/1985/ddd-010961912-mpeg21-p016.jpg,https://resolver.kb.nl/resolve?urn=ddd:010961912:mpeg21:p016,"Het vrĳe volk : democratisch-socialistisch dagblad van 1985-01-03 pagina 16",507,2157
ddd-010961917-mpeg21-p018.jpg,https://rotterdamspubliek.nl/files/filmladders-per-jaar/1985/ddd-010961917-mpeg21-p018.jpg,https://resolver.kb.nl/resolve?urn=ddd:010961917:mpeg21:p018,"Het vrĳe volk : democratisch-socialistisch dagblad van 1985-01-09 pagina 18",483,2162
ddd-010961923-mpeg21-p019.jpg,https://rotterdamspubliek.nl/files/filmladders-per-jaar/1985/ddd-010961923-mpeg21-p019.jpg,https://resolver.kb.nl/resolve?urn=ddd:010961923:mpeg21:p019,"Het vrĳe volk : democratisch-socialistisch dagblad van 1985-01-16 pagina 19",502,1765
ddd-010961929-mpeg21-p014.jpg,https://rotterdamspubliek.nl/files/filmladders-per-jaar/1985/ddd-010961929-mpeg21-p014.jpg,https://resolver.kb.nl/resolve?urn=ddd:010961929:mpeg21:p014,"Het vrĳe volk : democratisch-socialistisch dagblad van 1985-01-23 pagina 14",519,1797
ddd-010961935-mpeg21-p018.jpg,https://rotterdamspubliek.nl/files/filmladders-per-jaar/1985/ddd-010961935-mpeg21-p018.jpg,https://resolver.kb.nl/resolve?urn=ddd:010961935:mpeg21:p018,"Het vrĳe volk : democratisch-socialistisch dagblad van 1985-01-30 pagina 18",498,1682
ddd-010961940-mpeg21-p018.jpg,https://rotterdamspubliek.nl/files/filmladders-per-jaar/1985/ddd-010961940-mpeg21-p018.jpg,https://resolver.kb.nl/resolve?urn=ddd:010961940:mpeg21:p018,"Het vrĳe volk : democratisch-socialistisch dagblad van 1985-02-06 pagina 18",502,1972
ddd-010961946-mpeg21-p014.jpg,https://rotterdamspubliek.nl/files/filmladders-per-jaar/1985/ddd-010961946-mpeg21-p014.jpg,https://resolver.kb.nl/resolve?urn=ddd:010961946:mpeg21:p014,"Het vrĳe volk : democratisch-socialistisch dagblad van 1985-02-13 pagina 14",491,2020
ddd-010961952-mpeg21-p022.jpg,https://rotterdamspubliek.nl/files/filmladders-per-jaar/1985/ddd-010961952-mpeg21-p022.jpg,https://resolver.kb.nl/resolve?urn=ddd:010961952:mpeg21:p022,"Het vrĳe volk : democratisch-socialistisch dagblad van 1985-02-20 pagina 22",509,1983
ddd-010961958-mpeg21-p018.jpg,https://rotterdamspubliek.nl/files/filmladders-per-jaar/1985/ddd-010961958-mpeg21-p018.jpg,https://resolver.kb.nl/resolve?urn=ddd:010961958:mpeg21:p018,"Het vrĳe volk : democratisch-socialistisch dagblad van 1985-02-27 pagina 18",498,2005
ddd-010961964-mpeg21-p022.jpg,https://rotterdamspubliek.nl/files/filmladders-per-jaar/1985/ddd-010961964-mpeg21-p022.jpg,https://resolver.kb.nl/resolve?urn=ddd:010961964:mpeg21:p022,"Het vrĳe volk : democratisch-socialistisch dagblad van 1985-03-06 pagina 22",510,2173
